SPECIES,ORIGINAL AREA,1,% Area Lost,3,4,5,6,7,8,9,10
American white pelican,3505.225895,2282.722243,2310.987899,2333.116913,2356.387208,2378.163229,2404.738095,2428.89354,2448.934034,2468.486012,2483.975196
Black tern,101.7626077,101.5468689,101.6369594,101.6369744,101.6369744,101.6369746,101.6392918,101.6369596,101.6369744,101.639292,101.6369744
Long-billed curlew,0.001702199,0.001702197,0.001702199,0.001702199,0.001702199,0.001702197,0.001702199,0.001702197,0.001702199,0.001702197,0.001702199
Marbled godwit,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714,0.00117714
Stilt sandpiper,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536,0.001913536
White-rumped sandpiper,0.006935742,0.006935743,0.006935742,0.006935742,0.006935742,0.006935743,0.006935742,0.006935743,0.006935742,0.006935743,0.006935742
Franklin's gull,0.003595594,0.003595593,0.003595594,0.003595594,0.003595594,0.003595593,0.003595594,0.003595593,0.003595594,0.003595593,0.003595594
Buff-breasted sandpiper,1.782946143,1.637602639,1.666073393,1.671248576,1.671245436,1.682196571,1.682742908,1.687349498,1.690829966,1.703171899,1.703171951
Dowitchers,0.037572976,0.036686409,0.037572976,0.037572976,0.037572976,0.037572957,0.037572976,0.037572957,0.037572976,0.037572957,0.037572976
Lesser black-backed gull,0.006577607,0.005512136,0.006577607,0.006577607,0.006577607,0.006577618,0.006577607,0.006577618,0.006577607,0.006577618,0.006577607
Lemon shark,0.000624502,0.000624503,0.000624502,0.000624502,0.000624502,0.000624503,0.000624502,0.000624503,0.000624502,0.000624503,0.000624502
Upland sandpiper,0.000536121,0.000536123,0.000536121,0.000536121,0.000536121,0.000536123,0.000536121,0.000536123,0.000536121,0.000536123,0.000536121
Baird's sandpiper,11.98598576,11.22990186,11.98598574,11.98598574,11.98598574,11.98598576,11.98598574,11.98598576,11.98598574,11.98598576,11.98598574
Wilson's snipe,2.802951373,2.796981753,2.80295138,2.80295138,2.80295138,2.802951422,2.80295138,2.802951422,2.80295138,2.802951419,2.80295138
American oystercatcher,45.7130052,12.42641675,15.61741725,18.17682374,18.74852929,18.99488979,19.08312065,19.11957703,19.12957253,19.17404185,19.19515081
American alligator,0.003503398,0.003503396,0.003503398,0.003503398,0.003503398,0.003503396,0.003503398,0.003503396,0.003503398,0.003503396,0.003503398
Scaup,274.3203844,58.49932014,67.33793876,83.823926,96.60308949,110.6933165,118.082196,120.2337067,120.8919325,121.1932912,121.7590891
Greater white-fronted goose,17.70024328,17.66982612,17.68029252,17.68598884,17.68598884,17.68598894,17.68598884,17.68598894,17.68598884,17.68598894,17.68598884
Snow goose,13.72066492,11.29077801,12.47743909,13.41880164,13.50404632,13.53467492,13.5553317,13.55739755,13.55739758,13.55739755,13.55739758
Dabbling ducks,9.662775783,0.044975287,0.044975295,0.044975295,0.044975295,0.044975287,0.044975295,0.044975287,0.044975295,0.044975287,0.044975295
Diving ducks,16.80109484,2.087892233,2.049813746,2.104109887,2.178511363,2.233753665,2.270827226,2.296158851,2.336490708,2.373129557,2.397511778
